Country,StAbb,Year,Democracy,Pres,Notes,LeaderIdeologyScore,PresSecond,RunnerUpIdeologyScore,PresVotes,PresSecondVotes,PresOtherVotes,PresWarRole,PresPower,PresWinner,PresRunnerUp,WinnerIncumbent,RunnerUpIncumbent,WinnerPartyInc,RunnerUpPartyInc,Leg1,Leg1Second,Leg1Seats,Leg1SecondSeats,Leg1OtherSeats,Leg1Control,Leg1DeclareWar,Leg1Power,Leg2,Leg2Second,Leg2Seats,Leg2SecondSeats,Leg2OtherSeats,Leg2Control,Leg2DeclareWar,Leg2Power,PrevUnited,ElectionDate,StartDay,StartMonth,StartYear,EndDay,EndMonth,EndYear,LeaderStartDay,LeaderStartMonth,LeaderStartYear,LeaderEndDay,LeaderEndMonth,LeaderEndYear,PreviousLeaderStartDay,PreviousLeaderStartMonth,PreviousLeaderStartYear,PreviousLeaderEndDay,PreviousLeaderEndMonth,PreviousLeaderEndYear,PresBirthYear,PresMilitaryService,PresMilitaryExperience,PresGuerrillaWar,PresRunnerUpDOBm,PresRunnerUpDOBd,RunnerUpBirthYear,PresRunnerUPSource,RunnerUpMilitaryService,RunnerUpMilitaryExperience,RunnerUpLaw,RunnerUpArt,RunnerUpOccupation,AgeDifference,StartDate,EndDate,Days,PreviousDate,DisputesInitiated,PreviousDisputesInitiated,PreviousTermDisputesInitiated,HighDisputesInitiated,PreviousHighDisputesInitiated,PreviousTermHighDisputesInitiated,AllDisputes,AllPreviousDisputes,AllPreviousTermDisputes,AllHighDisputes,AllPreviousHighDisputes,AllPreviousTermHighDisputes,RevisionistDisputes,PreviousRevisionistDisputes,PreviousTermRevisionistDisputes,HighRevisionistDisputes,PreviousHighRevisionistDisputes,PreviousTermHighRevisionistDisputes,FYDisputesInitiated,FYHighDisputesInitiated,FYAllDisputes,FYAllHighDisputes,PreviousTermStartDate,PreviousTermEndDate,PreviousTermDays,irst,milex,milper,pec,tpop,upop,lnirst,lnmilex,lnmilper,lnpec,lntpop,lnupop
Brazil,BRA,1955,0,Social Democratic Party,,NA,National Democratic Union,4,35.7,30.3,34,1,1,Juscelino Kubitschek,Juarez Tavora,0,0,1,0,Social Democratic Party,National Democratic Union,NA,NA,NA,None,1,1,Social Democratic Party,National Democratic Union,NA,NA,NA,None,1,1,0,,3,11,1954,3,11,1954,31,1,1956,31,1,1961,NA,NA,NA,31,1,1956,1902,0,0,NA,1,14,1898,Wiki,1,0,0,0,"military officer,  politician ",-4,1/31/1956,1/31/1961,1827,1/30/1951,0.199781062,0,NA,0,0,NA,0.199781062,0,NA,0,0,NA,0.199781062,0,NA,0,0,0.006276528,0,0,0,0,NA,1/31/1956,348919,1162,234210,107,7693,60640,9546,7.057897937,12.36397343,4.672828834,8.948066103,11.01271002,9.163877498
Brazil,BRA,1960,0,NLP-NDU-CDP,,NA,SDP-BLP,1,48.3,32.9,18.8,1,1,Janio Quadros,Henrique Teixeira Lott,0,0,0,1,SDP,BLP,NA,NA,NA,None,1,1,NDU,SDP,NA,NA,NA,None,1,1,0,,3,11,1958,7,11,1962,31,1,1961,25,8,1961,NA,NA,NA,31,1,1961,1917,0,0,NA,11,16,1894,Wiki,1,0,0,0,"marshal, politician ",-23,1/31/1961,8/25/1961,206,7/9/1960,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0.007284474,0,0,0,0,NA,1/31/1961,350746,2260,268931,241,15452,72594,17692,7.723120092,12.50221012,5.484796933,9.645493724,11.19263755,9.780867839
Brazil,BRA,1989,1,PRN,,4,PT,1,53.03,46.97,5.82,1,1,Fernando Collor de Mello,Luiz Inacio,0,0,0,0,PMDB,PFL,NA,NA,NA,PMDB,1,1,PMDB,PFL,NA,NA,NA,None,1,1,1,,15,12,1989,3,11,1990,15,3,1990,29,12,1992,21,4,1985,14,3,1990,1949,0,0,NA,10,27,1945,Wiki,0,0,0,0,"trade unionist, metallurgic ",-4,3/15/1990,12/29/1992,1020,5/30/1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/21/1985,3/14/1990,1788,25005,5839000,319,348633.2,142307,73334,10.12683108,15.58007011,5.765191103,12.76177565,11.86574197,11.20277963
Bulgaria,BUL,1992,1,SDS,,2,Ind,2,52.8,47.2,0,1,1,Zhelyu Zhelev,Velko Valkanov,1,0,1,0,SDS,KB,NA,NA,NA,None,1,1,NA,NA,NA,NA,NA,NA,0,0,NA,1/19/1992,19,2,1992,18,1,1995,22,1,1992,22,1,1997,15,11,1990,22,1,1992,1935,0,0,NA,11,16,1927,Wiki,0,0,1,0,"lawyer, politician ",-8,1/22/1992,1/22/1997,1827,1/21/1987,0,0.199781062,0,0,0.199781062,0,0,0.199781062,0,0,0.199781062,0,0,0.199781062,0,0,0.199781062,0,0,0,0,0,11/15/1990,1/22/1992,433,1551,1310000,99,48280.17,8540,2751,7.346655163,14.0855377,4.59511985,10.7847762,9.052516287,7.919719761
Bulgaria,BUL,1996,1,SDS,,4,BSP,2,59.7,40.3,0,1,1,Petar Stoyanov,Ivan Marazov,0,0,1,0,KB,SDS,125,69,46,KB,1,1,NA,NA,NA,NA,NA,NA,0,0,0,11/3/1996,22,1,1997,19,5,1997,22,1,1997,22,1,2002,22,1,1992,22,1,1997,1952,0,0,NA,3,15,1942,Wiki,0,0,0,1,"artist, culturologist, thracologist and politician",-10,1/22/1997,1/22/2002,1826,1/23/1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/22/1992,1/22/1997,1827,2457,373000,80,58965.61,8356,2713,7.806696373,12.8293337,4.382026635,10.98470967,9.030735123,7.905810313
Bulgaria,BUL,2001,1,BSP,,2,SDS,4,54.1,45.9,0,1,1,Georgi Parvanov,Peter Stoyanov,0,1,0,1,NDSV,ODS,120,51,69,NDSV,1,1,NA,NA,NA,NA,NA,NA,0,0,0,11/18/2001,22,1,2002,25,7,2005,22,1,2002,22,1,2007,22,1,1997,22,1,2002,1957,0,0,NA,5,25,1952,Wiki,0,0,1,0,"lawyer, politician ",-5,1/22/2002,1/22/2007,1826,1/22/1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/22/1997,1/22/2002,1826,1972,365000,77,41097.53,7913,2438,7.586803535,12.80765263,4.343805422,10.6237033,8.976262256,7.79893331
Cameroon,CAO,1992,0,Cameroon People's Democratic Movement,,NA,Social Democratic Front,NA,40,36,24,1,1,Paul Biya,John Fru Ndi,1,0,1,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,,11,11,1992,12,11,1997,11,11,1992,12,11,1997,NA,NA,NA,11,11,1992,1933,0,0,NA,7,7,1941,Wiki,0,0,0,0,"vendor, politician ",8,11/11/1992,11/12/1997,1827,11/11/1987,0.599343186,0,NA,0.599343186,0,NA,0.599343186,0,NA,0.599343186,0,NA,0.599343186,0,NA,0.599343186,0,0.001007305,0,0,0,0,NA,11/11/1992,362353,0,134080,12,4812.401,12142,1872,NA,11.80619192,2.48490665,8.478951407,9.404425796,7.534762657
Cape Verde,CAP,2001,1,PAICV,,2,MpD,3,50.001,49.999,0,1,1,Pedro Pires,Carlos Viega,0,0,0,1,PAICV,MpD,40,30,2,PAICV,1,1,NA,NA,NA,NA,NA,NA,0,0,1,1/14/2001,22,3,2001,22,3,2006,22,3,2001,22,3,2006,22,3,1996,22,3,2001,1934,1,0,NA,10,21,1949,Wiki,0,0,1,0,"lawyer, politician ",15,3/22/2001,3/22/2006,1826,3/22/1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/22/1996,3/22/2001,1826,0,4000,1,21.42854,445,0,NA,8.29404964,0,3.064723678,6.098074282,NA
Cape Verde,CAP,2006,1,PAICV,Based exclusively on social; would be center left on econ.,4,MpD,3,50.98,49.02,0,1,1,Pedro Pires,Carlos Viega,1,0,1,0,PAICV,MpD,41,29,2,PAICV,1,1,NA,NA,NA,NA,NA,NA,0,0,1,1/22/2006,22,3,2006,31,12,2010,22,3,2006,31,12,2010,22,3,2001,22,3,2006,1934,1,0,NA,10,21,1949,Wiki,0,0,1,0,"lawyer, politician ",15,3/22/2006,12/31/2010,1745,6/11/2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/22/2001,3/22/2006,1826,0,7000,1,32.3581,483,0,NA,8.853665428,0,3.476864376,6.180016654,NA
Central African Republic,CEN,1981,0,Central African Democratic Union,,NA,Movement for the Liberation of the Central African Republic,NA,51.1,38.77,0,1,1,David Dacko,Ange-Felix Patasse,0,1,1,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,,15,4,1981,25,11,1992,1,9,1981,21,9,1985,NA,NA,NA,1,9,1981,1930,0,0,NA,1,25,1937,Wiki,0,0,0,0," agricultural engineer, agricultural inspector, prime minister, politician ",7,9/1/1981,9/21/1985,1481,8/12/1977,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,9/1/1981,358264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central African Republic,CEN,1993,0,Movement for the Liberation of the Central African Republic,,NA,Patriotic Front,NA,53.49,46.51,0,1,1,Ange-Felix Patasse,Abel Goumba,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,,19,10,1993,19,10,1999,22,10,1993,19,10,1999,NA,NA,NA,22,10,1993,1937,0,0,NA,9,18,1926,Wiki,0,0,0,0,"doctor, politician ",-11,10/22/1993,10/19/1999,2188,10/26/1987,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,10/22/1993,362698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,COL,1942,0,Liberal,,NA,Liberal,2,58.6,41.4,0,1,1,Alfonso Lopez Pumarejo,Carlos Arango Velez,0,0,1,1,Liberal,Conservative,NA,NA,NA,Liberal,1,1,NA,NA,NA,NA,NA,NA,0,0,NA,,3,6,1942,1,3,1943,7,8,1942,7,8,1946,NA,NA,NA,7,8,1942,1886,0,0,NA,2,13,1897,Wiki,0,0,1,0,"lawyer, politician ",11,8/7/1942,8/7/1946,1461,8/7/1938,0.249828884,0,NA,0.249828884,0,NA,0.499657769,0,NA,0.249828884,0,NA,0,0,NA,0,0,0.007427455,0,0,0,0,NA,8/7/1942,343994,0,9142,-9,2010,9540,1231,NA,9.120634459,NA,7.605890001,9.163248764,7.115582126
Colombia,COL,1946,0,Conservative,,NA,Liberal,2,41.4,32.3,26.3,1,1,Mariano Ospina Perez,Gabriel Turbay,0,0,0,1,Liberal,Conservative,NA,NA,NA,Liberal,0,1,NA,NA,NA,NA,NA,NA,0,0,NA,,5,6,1946,16,4,1947,7,8,1946,7,8,1950,NA,NA,NA,7,8,1946,1891,0,0,NA,1,10,1901,Wiki,0,0,0,0,"doctor, politician ",10,8/7/1946,8/7/1950,1461,8/7/1942,0,0.249828884,NA,0,0.249828884,NA,0,0.499657769,NA,0,0.249828884,NA,0,0,NA,0,0,0.007396043,0,0,0,0,NA,8/7/1946,345455,0,16331,17,2404,10530,1582,NA,9.700820421,2.833213344,7.784889296,9.261983605,7.366445148
